Thales|Everything is water in one form or another.
Thomas Kuhn|There is no absolute distinction between the context of discovery and the context of justification.
Thomas Kuhn|We may have to relinquish the notion that paradigm changes carry scientists closer and closer to the truth.
Thomas Kuhn|The development of science is like biological evolution: an increase in articulation and specialization, without an end goal.
Imre Lakatos|The unit of scientific evaluation is not the individual theory, but a sequence of theories, the ‘research program’ (RP).
Imre Lakatos|Each RP has a refutation-resistant hard core, stubbornly but rationally defended, and often devoid of empirical consequences.
Imre Lakatos|Each RP has a protective belt of auxiliary hypotheses which has to bear the brunt of tests and gets adjusted or replaced, to defend the hard core.
Imre Lakatos|The RP as a whole (hard core plus auxiliary hypotheses) entails empirical predictions and is a falsifiable affair.
Imre Lakatos|Each RP, at any stage, has unsolved problems and undigested anomalies; all theories, in this sense, are born refuted and die refuted.
Imre Lakatos|It may be rational to put an inconsistency discovered in a RP into some temporary, ad hoc quarantine, and carry on.
Imre Lakatos|A RP is progressive if its successive theories deliver novel predictions and some of those novel predictions turn out to be true.
Imre Lakatos|A degenerating RP either fails to predict novel facts at all, or makes novel predictions that are systematically falsified; it may in the end become pseudoscience.
Imre Lakatos|The demarcation of science/non-science is a matter of degree, and can vary with time: a RP might degenerate but later recover its scientific status.
Imre Lakatos|Marxism started out as theoretically progressive but empirically degenerate and ended up as theoretically degenerate as well.
Imre Lakatos|The development of mathematics is an evolutionary, dialectical process: concepts/proofs are initially open-ended and become sharper within a protracted debate.
Paul Feyerabend|We cannot just confront a theory with “the observed facts”; the identity and the significance of these facts are underdetermined.
Paul Feyerabend|The history of science includes revolutions; ‘incommensurable’ alternatives replace existing theories.
Paul Feyerabend|Science flourishes best when there is a proliferation of different paradigms (‘epistemological anarchism’).
Paul Feyerabend|Aesthetic criteria, personal whims, and social factors have a decisive role in the history of science.
Paul Feyerabend|Conventions are not used only in the absence of the object, but exert their influence even when a direct account of the visible object is attempted.
